project,commit,typeRFT,description,pre_commit_line_number,pre_commit_code_element,pre_commit_description,post_commit_line_number,post_commit_code_element,post_commit_description,MANUAL - observation,MANUAL - Abstracted Observation,MANUAL - High Level Category,MANUAL - additional details
hadoop,19c149cdb91e2f32f02727f4a6e14ecc002b181a,Modify Method Annotation,Modify Method Annotation @Test(timeout = 60000) to @Test(timeout = 300000) in method public testVolumeIteratorWithCaching() : void from class org.apache.hadoop.hdfs.server.datanode.TestBlockScanner,248,@Test(timeout = 60000),original annotation,248,@Test(timeout = 300000),modified annotation,increase timeout,[Relaxes timeout],TIMEOUT,RELAX TIMEOUT FOR SLOW TEST
hbase,a49850e5c3a648a93ecca848d5d58ca7da9b2d4d,Remove Class Annotation,Remove Class Annotation @Ignore in class org.apache.hadoop.hbase.TestRegionRebalancing,57,@Ignore,deleted annotation,55,org.apache.hadoop.hbase.TestRegionRebalancing,class declaration with removed annotation,"Flaky Test failed due to timeout. They increase timeout and suggests ""seems"" to be working, but leaves flaky category due to doubt.",[Relaxes timeout],TIMEOUT,RELAX TIMEOUT FOR SLOW TEST
hbase,9fecb3b2c8829ae614ba2724b82778cfab34f5ec,Remove Method Annotation,Remove Method Annotation @Ignore in method public testRegionReplicasOnMidClusterHighReplication() : void from class org.apache.hadoop.hbase.master.balancer.TestStochasticLoadBalancer2,70,@Ignore,deleted annotation,77,public testRegionReplicasOnMidClusterHighReplication() : void,method declaration with removed annotation,"Flaky Test failed due to timeout. They increase timeout and suggests ""seems"" to be working, but leaves flaky category due to doubt.",[Flaky -> Relaxes timeout],TIMEOUT,RELAX TIMEOUT FOR SLOW TEST
hadoop,d31a0d7443dcbf5a443f0399739f2b1f8898103c,Modify Method Annotation,Modify Method Annotation @Test(timeout = 30000) to @Test(timeout = 10000) in method public testCheckSafeMode1() : void from class org.apache.hadoop.hdfs.server.blockmanagement.TestBlockManagerSafeMode,127,@Test(timeout = 30000),original annotation,139,@Test(timeout = 10000),modified annotation,decrease time out because long test method decomposed into individual unit test.,[@Timeout -> Benchmarking],TIMEOUT,PERFORMANCE REGRESSION DETECTION-TIGHTEN TIMEOUT AFTER CODE SPLIT
hive,bfddd44b7b3f62851593e2910700b37874910d68,Modify Method Annotation,Modify Method Annotation @Test(timeout = 60000) to @Test(timeout = 120000) in method public testTriggerCustomCreatedDynamicPartitionsMultiInsert() : void from class org.apache.hive.jdbc.TestTriggersTezSessionPoolManager,197,@Test(timeout = 60000),original annotation,194,@Test(timeout = 120000),modified annotation,increase timeout on slow machine,[Relaxes timeout],TIMEOUT,RELAX TIMEOUT FOR SLOW CLUSTER
hive,473dd0462d3f261312afeae36ecb744c8a2f0c69,Modify Method Annotation,Modify Method Annotation @Test(timeout = 20000) to @Test(timeout = 40000) in method public testExistingOnly() : void from class org.apache.hadoop.hive.ql.stats.TestStatsUpdaterThread,143,@Test(timeout = 20000),original annotation,143,@Test(timeout = 40000),modified annotation,increase timeout for slow test,[Relaxes timeout],TIMEOUT,RELAX TIMEOUT FOR SLOW TEST DUE TO SLOW DATABASE
hive,cd1ab41b3e17df761a7bda665ac64fba594647a0,Modify Method Annotation,"Modify Method Annotation @Test(timeout = 5000, expected = IllegalStateException.class) to @Test(timeout = 20000, expected = IllegalStateException.class) in method public testExtraEvents() : void from class org.apache.hadoop.hive.ql.exec.tez.TestDynamicPartitionPruner",325,"@Test(timeout = 5000, expected = IllegalStateException.class)",original annotation,325,"@Test(timeout = 20000, expected = IllegalStateException.class)",modified annotation,increase timeout since test execution close to timeout,[Relaxes timeout],TIMEOUT,RELAX TIMEOUT FOR SATURATED ENV
storm,51ed4f89895213fb2521c0644b763c5db88fe9a5,Modify Method Annotation,"Modify Method Annotation @ValueSource(ints = {5,20}) to @ValueSource(ints = {1,20}) in method public testScheduleLargeExecutorConstraintCount(parallelismMultiplier int) : void from class org.apache.storm.scheduler.resource.strategies.scheduling.TestConstraintSolverStrategy",213,"@ValueSource(ints = {5,20})",original annotation,213,"@ValueSource(ints = {1,20})",modified annotation,replace @Timeout to assertTimeoutPreemptively (assert that executable completes before the timeout),[ RFT Timeout ],TIMEOUT,@TIMEOUT IS NOT NARROW ENOUGH ( USED TO NARROW TO SPECIFIC STATEMENTS)
ambari,e4416152b192f7143260b507c3f8b8c97bbc9b90,Add Class Annotation,Add Class Annotation @Ignore in class org.apache.ambari.server.checks.YarnTimelineServerStatePreservingCheckTest,43,org.apache.ambari.server.checks.YarnTimelineServerStatePreservingCheckTest,original class declaration,48,@Ignore,added annotation,ad-hoc -> move things to @before and hope it helps,[ ad-hoc fixture ],FIXTURE,RESET FIXTURE-AD-HOC CLEAN STATE
ambari,5eb205f7892ae18eceacd4c306bde15c49c9c7d0,Add Method Annotation,Add Method Annotation @AfterClass in method public tearDownAfterClass() : void from class org.apache.ambari.server.security.CertGenerationTest,117,public tearDown() : void,original method declaration,130,@AfterClass,added annotation,improve unit test using common setup (also discusses mock),[Improve Test Execution -> Single setup],FIXTURE,IMPROVE TEST SPEED
ambari,f012848130e6f3ae7c8121a781ec851885185327,Add Method Annotation,Add Method Annotation @Before in method public setUp() : void from class org.apache.ambari.server.upgrade.UpgradeCatalog212Test,125,public setupIoCContext() : void,original method declaration,119,@Before,added annotation,improve test time by changing @Before to @BeforeClass,[Improve Test Execution -> Single setup],FIXTURE,IMPROVE TEST SPEED
camel,234640052dd3efff746cdab003f95ff3d7308712,Add Method Annotation,"Add Method Annotation @Ignore(""This test would be failed in JDK7 sometimes"") in method public sendBodyWithoutReceiver() : void from class org.apache.camel.component.netty4.NettyUdpConnectedSendTest",84,public sendBodyWithoutReceiver() : void,original method declaration,86,"@Ignore(""This test would be failed in JDK7 sometimes"")",added annotation,Improve test time by rft @before -> @beforeclass,[Improve Test Execution -> Single setup],FIXTURE,IMPROVE TEST SPEED
druid,6db0cd623f9e1169f8fd0222b9087c876e75bcef,Add Method Annotation,Add Method Annotation @Ignore in method public testChunkNotFinalized() : void from class io.druid.server.initialization.JettyTest,174,public testChunkNotFinalized() : void,original method declaration,175,@Ignore,added annotation,Reuse Cluster by RFT @before -> @beforeClass to improve test time,[Improve Test Execution -> Single setup],FIXTURE,IMPROVE TEST SPEED
hadoop,00b990d0b6e1afbc22f6c0afb8c19436fa846d67,Add Method Annotation,"Add Method Annotation @Ignore(""Enable this to verify the log warning message format for HostNotFoundException"") in method public testUnknownHost() : void from class org.apache.hadoop.fs.azurebfs.ITestAbfsClient",58,public verifyUnknownHost() : void,original method declaration,59,"@Ignore(""Enable this to verify the log warning message format for HostNotFoundException"")",added annotation,using new implementation as old is deprecated -> change before to beforeclass,[Improve Test Execution -> Single setup],FIXTURE,IMPROVE TEST SPEED
hadoop,ab37423ad8debe2f050133ad97b686083531c2ea,Add Method Annotation,"Add Method Annotation @Ignore(""Until delete background service is fixed."") in method public testBlockDeletion() : void from class org.apache.hadoop.ozone.container.common.statemachine.commandhandler.TestBlockDeletion",104,public testBlockDeletion() : void,original method declaration,106,"@Ignore(""Until delete background service is fixed."")",added annotation,"while bug fixing, @Before -> @BeforeClass, but nothing else changed",[Improve Test Execution -> Single setup],FIXTURE,IMPROVE TEST SPEED
hadoop,c7cee9b4551918d5d35bf4e9dc73982a050c73ba,Add Method Annotation,Add Method Annotation @Before in method public setup() : void from class org.apache.hadoop.yarn.server.nodemanager.TestDirectoryCollection,45,public setup() : void,original method declaration,45,@Before,added annotation,rft expensive setup in @Before to @BeforeClass,[Improve Test Execution -> Single setup],FIXTURE,IMPROVE TEST SPEED
hbase,7386369fec5d98b99262910c8f6afb56cc672339,Add Method Annotation,Add Method Annotation @BeforeClass in method public setUp() : void from class org.apache.hadoop.hbase.rsgroup.TestMigrateRSGroupInfo,67,public setUp() : void,original method declaration,70,@BeforeClass,added annotation,RFT @Before -> @Before class to improve testing time,[Improve Test Execution -> Single setup],FIXTURE,IMPROVE TEST SPEED
ambari,a20fd0e26e6a9d08a025a3ef6ba7c2092df39f61,Remove Method Annotation,Remove Method Annotation @Before in method public setUp() : void from class org.apache.ambari.server.api.services.ViewDataMigrationServiceTest,73,@Before,deleted annotation,63,public testServiceMigrateCallNotAdmin() : void,method declaration with removed annotation,"@Before is not configurable. Here, it only requires @Before to run in certain tests.",[@Before not configurable],FIXTURE,INFLEXIBLE CONFIGURATION-NON-SELECTIVE
ambari,d259e44cb05699e993d1b39aab53e7f799f8e71b,Remove Class Annotation,Remove Class Annotation @Category({category.StackUpgradeTest.class}) in class org.apache.ambari.server.state.stack.UpgradePackTest,64,@Category({category.StackUpgradeTest.class}),deleted annotation,60,org.apache.ambari.server.state.stack.UpgradePackTest,class declaration with removed annotation,"@Before is not configurable. Here it requires @Before to run in certain tests, but it doesn't so it inlines redundancies.",[@Before not configurable],FIXTURE,INFLEXIBLE CONFIGURATION-NON-SELECTIVE
hadoop,d81611fe55f0768024cb715a50283cba10558e81,Remove Method Annotation,Remove Method Annotation @Before in method public setUp() : void from class org.apache.hadoop.hdfs.server.namenode.TestStoragePolicySatisfier,70,@Before,deleted annotation,81,private createCluster() : void,method declaration with removed annotation,@Before turned into helper method because only require fixture for certain test,[@Before not configurable],FIXTURE,INFLEXIBLE CONFIGURATION-NON-SELECTIVE
hbase,205ed40f19e2fbf3eb2c1c254131a09d9b800cad,Remove Method Annotation,Remove Method Annotation @After in method public tearDown() : void from class org.apache.hadoop.hbase.security.access.TestAccessController,281,@After,deleted annotation,276,private cleanUp() : void,method declaration with removed annotation,RFT @After-> helper test to inline to improve testing time,[@Before not configurable],FIXTURE,INFLEXIBLE CONFIGURATION-NON-SELECTIVE
ambari,c51540dee89d90bb488c2b1a1269ae7d40d5d509,Remove Method Annotation,Remove Method Annotation @Test(expected = AuthorizationException.class) in method public testCreateResourcesCheckHostForNonClusterAsClusterAdministrator() : void from class org.apache.ambari.server.controller.internal.RequestResourceProviderTest,1361,@Test(expected = AuthorizationException.class),deleted annotation,1361,public testCreateResourcesCheckHostForNonClusterAsClusterAdministrator() : void,method declaration with removed annotation,@Before is not configurable. Here it requires @Before to take arguments so it rft @Before to helper method.,[@Before not configurable],FIXTURE,INFLEXIBLE CONFIGURATION-NOT-CONFIGURABLE
camel,e37bbb3f7319eba28fb897dc764c7927d8319688,Add Attribute Annotation,Add Attribute Annotation @ClassRule in attribute public embeddedZookeeper : EmbeddedZookeeper from class org.apache.camel.component.kafka.BaseEmbeddedKafkaTest,40,package embeddedZookeeper : EmbeddedZookeeper,original attribute declaration,41,@ClassRule,added annotation,"@Before is not configurable, thus deletes @Before and parameterizes method.",[@Before not configurable],FIXTURE,INFLEXIBLE CONFIGURATION-NOT-CONFIGURABLE
ambari,1f0c25493cadc545cba17e2d597b8cfc8efa8737,Remove Method Annotation,Remove Method Annotation @Before in method public init() : void from class org.apache.ambari.server.stack.UpdateActiveRepoVersionOnStartupTest,87,@Before,deleted annotation,93,public init(addClusterVersion boolean) : void,method declaration with removed annotation,Remove Reusable Method in test method and add @Before,[Improve Maintainbility -> Common setup],FIXTURE,MAINTAINBILITY
hadoop,ad1b988a828608b12cafb6382436cd17f95bfcc5,Add Method Annotation,Add Method Annotation @Test(timeout = 240000) in method public runTestWithSingleFailure() : void from class org.apache.hadoop.hdfs.ParameterizedTestDFSStripedOutputStreamWithFailure,713,private run(offset int) : void,original method declaration,57,@Test(timeout = 240000),added annotation,Resetting Fixture.,[Fix Bug -> Clean Fixture],FIXTURE,RESET FIXTURE
hadoop,43b1878f862440b6aa551b0d722b244755bf6cc1,Add Method Annotation,Add Method Annotation @BeforeClass in method public setup() : void from class org.apache.hadoop.yarn.server.applicationhistoryservice.TestApplicationHistoryClientService,59,public setup() : void,original method declaration,57,@BeforeClass,added annotation,while fixing bug change cluster init from beforeclass -> before,[Fix Bug -> Clean Fixture],FIXTURE,RESET FIXTURE
hadoop,e81397545a273cf9a090010eb644b836e0ef8c7b,Add Method Annotation,Add Method Annotation @Test in method public testGettingPropertiesWithPrefix() : void from class org.apache.hadoop.conf.TestConfiguration,2323,public testGettingPropertiesWithPrefix() : void,original method declaration,2323,@Test,added annotation,"while bug fixing, @BeforeClass-> @Before for clean fixture",[Fix Bug -> Clean Fixture],FIXTURE,RESET FIXTURE
hadoop,699d4204977cff31ac689457b4b99317e3bdc0d3,Add Method Annotation,Add Method Annotation @Before in method public setUp() : void from class org.apache.hadoop.hdfs.server.namenode.TestMetaSave,68,public setUp() : void,original method declaration,74,@Before,added annotation,rft @BeforeClass -> @Before to fix to fix a bug for clean fixture,[Fix Bug -> Clean Fixture],FIXTURE,RESET FIXTURE
hadoop,2f6bc250443c8d6fa6f18aab256c2ac8e585983b,Add Method Annotation,Add Method Annotation @Before in method public init() : void from class org.apache.hadoop.ozone.om.TestOzoneManager,113,public init() : void,original method declaration,120,@Before,added annotation,"This test describes flaky test, where it may sometimes pass or fail depending on run-time behavior. Thus, it refreshes fixture.",[Fix Bug -> Clean Fixture],FIXTURE,RESET FIXTURE
hadoop,2f6bc250443c8d6fa6f18aab256c2ac8e585983b,Add Method Annotation,Add Method Annotation @Before in method public init() : void from class org.apache.hadoop.ozone.om.TestOzoneManager,113,public init() : void,original method declaration,120,@Before,added annotation,just says it is more safer > faster execution,[ad-hoc fixture],FIXTURE,RESET FIXTURE
hbase,484ccb7af4d614429f77f0c14d9b14c6fe8c9e17,Add Method Annotation,Add Method Annotation @Before in method public setUpBefore() : void from class org.apache.hadoop.hbase.snapshot.TestExportSnapshotNoCluster,71,public setUpBeforeClass() : void,original method declaration,68,@Before,added annotation,"Developer is having trouble figuring out what test case sets the variable in fixture, causing flaky rerun",[ad-hoc fixture],FIXTURE,RESET FIXTURE
hive,244386a4d25f75bd15c64410ec1cb1d914daf3c0,Add Method Annotation,Add Method Annotation @BeforeClass in method public setUp() : void from class org.apache.hadoop.hive.metastore.TestFilterHooks,164,public setUp() : void,original method declaration,165,@BeforeClass,added annotation,flaky test due to fixture pollution from previous test run.,[Clean Fixture],FIXTURE,RESET FIXTURE
